TECHNOLOGY,MAX_BUILD,START_YEAR,END_YEAR
TRNUSARWUSASV,0,2021,2024
TRNUSARWUSASW,0,2021,2024
TRNUSASAUSASC,0,2021,2024
TRNUSASAUSASE,0,2021,2024
TRNUSASAUSASN,0,2021,2024
TRNUSASAUSASS,0,2021,2024
TRNUSASAUSASW,0,2021,2024
TRNUSASCUSASE,0,2021,2024
TRNUSASCUSASV,0,2021,2024
TRNUSASCUSASW,0,2021,2024
TRNUSASEUSASV,0,2021,2024
TRNUSASNUSASS,0,2021,2024
TRNUSASNUSASW,0,2021,2024
TRNUSASSUSASW,0,2021,2024
TRNZAFXXZWEXX,0,2021,2024
TRNZMBXXZWEXX,0,2021,2024
TRNAFGXXCHNXI,0,2025,2050
TRNAFGXXIRNXX,0,2025,2050
TRNAFGXXPAKXX,0,2025,2050
TRNAFGXXTJKXX,0,2025,2050
TRNAFGXXTKMXX,0,2025,2050
TRNAFGXXUZBXX,0,2025,2050
TRNAGOXXCODXX,0,2025,2050
TRNAGOXXCOGXX,0,2025,2050
TRNAGOXXNAMXX,0,2025,2050
TRNAGOXXZMBXX,0,2025,2050
TRNALBXXGRCXX,0,2025,2050
TRNALBXXKOSXX,0,2025,2050
TRNALBXXMKDXX,0,2025,2050
TRNALBXXMNEXX,0,2025,2050
TRNALBXXSRBXX,0,2025,2050
TRNAREXXINDWE,0,2025,2050
TRNAREXXIRNXX,0,2025,2050
TRNAREXXOMNXX,0,2025,2050
TRNAREXXSAUXX,0,2025,2050
TRNARGXXBOLXX,0,2025,2050
TRNARGXXBRASO,0,2025,2050
TRNARGXXCHLXX,0,2025,2050
TRNARGXXPRYXX,0,2025,2050
TRNARGXXURYXX,0,2025,2050
TRNARMXXAZEXX,0,2025,2050
TRNARMXXGEOXX,0,2025,2050
TRNARMXXIRNXX,0,2025,2050
TRNARMXXTURXX,0,2025,2050
TRNAUSNTAUSQL,0,2025,2050
TRNAUSNTAUSSA,0,2025,2050
TRNAUSNTAUSWA,0,2025,2050
TRNAUSQLAUSSA,0,2025,2050
