FUEL_TYPE,CUSTOM_NODE,CAPACITY,,,
WOF,NAMXX,164.50,,,
WOF,NERXX,0.00,,,
WOF,NGAXX,32.66,,,
WOF,NICXX,95.01,,,
WOF,NLDXX,34.99,,,
WOF,NORXX,0.00,,,
WOF,NPLXX,0.00,,,
WOF,NZLXX,0.00,,,
WOF,OMNXX,69.44,,,
WOF,PAKXX,53.39,,,
WOF,PANXX,53.57,,,
WOF,PERXX,126.17,,,
WOF,PHLLU,207.77,,,
WOF,PHLMI,74.98,,,
WOF,PHLVI,62.29,,,
WOF,PNGXX,162.79,,,
WOF,POLXX,14.81,,,
WOF,PRKXX,29.94,,,
WOF,PRTXX,33.29,,,
WOF,PRYXX,0.00,,,
WOF,QATXX,2.09,,,
WOF,ROUXX,13.45,,,
WOF,RUSCE,0.00,,,
WOF,RUSFE,12390.62,,,
WOF,RUSMV,0.00,,,
WOF,RUSNW,1103.03,,,
WOF,RUSSI,0.00,,,
WOF,RUSSO,92.93,,,
WOF,RUSUR,243.29,,,
WOF,RWAXX,0.00,,,
WOF,SAUXX,120.63,,,
WOF,SDNXX,20.75,,,
WOF,SENXX,28.82,,,
WOF,SGPXX,28.82,,,
WOF,SLEXX,10.71,,,
WOF,SLVXX,6.86,,,
WOF,SOMXX,58.92,,,
WOF,SRBXX,0.00,,,
WOF,SURXX,1.42,,,
WOF,SVKXX,0.00,,,
WOF,SVNXX,0.12,,,
WOF,SWEXX,176.21,,,
WOF,SWZXX,0.00,,,
WOF,SYRXX,0.67,,,
WOF,TCDXX,0.00,,,
WOF,TGOXX,0.30,,,
WOF,THACE,83.63,,,
WOF,THANO,293.33,,,
WOF,THASO,183.97,,,
WOF,TJKXX,0.00,,,
WOF,TKMXX,43.27,,,
WOF,TLSXX,0.22,,,
WOF,TTOXX,19.93,,,
WOF,TUNXX,57.00,,,
WOF,TURXX,48.56,,,
WOF,TWNXX,86.04,,,
WOF,TZAXX,16.84,,,
WOF,UGAXX,0.00,,,
WOF,UKRXX,95.05,,,
WOF,URYXX,21.51,,,
WOF,USAMR,0.00,,,
WOF,USANP,142.46,,,
WOF,USARF,47.57,,,
WOF,USASE,589.93,,,
WOF,USATE,88.47,,,
WOF,USAWE,67.82,,,
WOF,UZBXX,0.00,,,
WOF,VENXX,135.16,,,
WOF,VNMCE,149.93,,,
WOF,VNMNO,23.34,,,
WOF,VNMSO,96.69,,,
WOF,YEMXX,61.86,,,
WOF,ZAFXX,153.75,,,
WOF,ZMBXX,0.00,,,
WOF,ZWEXX,0.00,,,
WON,AFGXX,1897.85,,,
WON,AGOXX,3557.19,,,
WON,ALBXX,57.11,,,
WON,AREXX,157.15,,,
WON,ARGXX,7695.83,,,
WON,ARMXX,54.88,,,
WON,AUSXX,100,,,
WON,AUTXX,95.86,,,
WON,AZEXX,191.82,,,
WON,BELXX,9.2,,,
WON,BENXX,203.34,,,
WON,BFAXX,593.87,,,
WON,BGDXX,122.67,,,
WON,BGRXX,146.66,,,
WON,BHRXX,0.6,,,
WON,BIHXX,123.09,,,
WON,BLRXX,414.24,,,
WON,BOLXX,2622.84,,,
WON,BRAXX,100,,,
WON,BRNXX,12.05,,,
WON,BTNXX,61.97,,,
WON,BWAXX,1297.66,,,
WON,CAFXX,1659.55,,,
