CUSTOM_NODE,YEAR,VALUE
MYSCE,2016,245.2
MYSCE,2017,258.78
MYSCE,2018,271.39
MYSCE,2019,287.88
MYSCE,2020,293.16
MYSCE,2021,279.22
MYSCE,2022,308.5
MYSCE,2023,324.34
MYSCE,2024,343.33
MYSCE,2025,360
MYSCE,2026,374.56
MYSCE,2027,392.38
MYSCE,2028,408.37
MYSCE,2029,432.94
MYSCE,2030,460.01
MYSCE,2031,495.85
MYSCE,2032,522.1
MYSCE,2033,556.04
MYSCE,2034,594.78
MYSCE,2035,637.8
MYSCE,2036,685.52
MYSCE,2037,738.82
MYSCE,2038,798.31
MYSCE,2039,864.57
MYSCE,2040,938.4
MYSCE,2041,1020.89
MYSCE,2042,1113.2
MYSCE,2043,1216.59
MYSCE,2044,1332.31
MYSCE,2045,1462.42
MYSCE,2046,1608.45
MYSCE,2047,1772.6
MYSCE,2048,1957.23
MYSCE,2049,2165.1
MYSCE,2050,2399.31
MYSSO,2015,49.18
MYSSO,2016,51.74
MYSSO,2017,53.92
MYSSO,2018,56.11
MYSSO,2019,57.64
MYSSO,2020,59.44
MYSSO,2021,56.11
MYSSO,2022,60.78
MYSSO,2023,63.55
MYSSO,2024,66.23
MYSSO,2025,68.67
MYSSO,2026,70.8
MYSSO,2027,73.7
MYSSO,2028,76.15
MYSSO,2029,80.07
MYSSO,2030,84.32
MYSSO,2031,89.99
MYSSO,2032,94.16
MYSSO,2033,99.64
MYSSO,2034,105.84
MYSSO,2035,112.73
MYSSO,2036,120.39
MYSSO,2037,128.97
MYSSO,2038,138.57
MYSSO,2039,149.24
MYSSO,2040,161.12
MYSSO,2041,174.39
MYSSO,2042,189.24
MYSSO,2043,205.87
MYSSO,2044,224.46
MYSSO,2045,245.34
MYSSO,2046,268.75
MYSSO,2047,295.05
MYSSO,2048,324.59
MYSSO,2049,357.81
MYSSO,2050,395.2
MYSSH,2015,35.67
MYSSH,2016,37.22
MYSSH,2017,39.53
MYSSH,2018,39.64
MYSSH,2019,40.05
MYSSH,2020,39.66
MYSSH,2021,37.03
MYSSH,2022,38.46
MYSSH,2023,40.47
MYSSH,2024,40.89
MYSSH,2025,41.13
MYSSH,2026,41.67
MYSSH,2027,42.78
MYSSH,2028,43.66
MYSSH,2029,45.08
MYSSH,2030,46.54
MYSSH,2031,48.4
MYSSH,2032,49.92
MYSSH,2033,52.05
MYSSH,2034,54.32
MYSSH,2035,56.86
MYSSH,2036,59.69
MYSSH,2037,62.91
MYSSH,2038,66.55
MYSSH,2039,70.59
MYSSH,2040,75.03
MYSSH,2041,80
MYSSH,2042,85.57
MYSSH,2043,91.8
MYSSH,2044,98.73
MYSSH,2045,106.48
MYSSH,2046,115.13
MYSSH,2047,124.81
MYSSH,2048,135.65
