NAME,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
UKR_Hyd_Dniester18255,2.9,3.0,3.0,3.9,9.6,10.8,10.8,10.8,10.8,7.4,3.9,2.9
UKR_Hyd_Dniesterpumpe18256,2.9,3.0,3.0,3.9,9.6,10.8,10.8,10.8,10.8,7.4,3.9,2.9
UKR_Hyd_Dniprodzerzhyns18257,2.9,3.0,3.0,3.9,9.6,10.8,10.8,10.8,10.8,7.4,3.9,2.9
UKR_Hyd_Kakhovka18259,1.0,3.0,8.3,8.3,6.2,8.3,5.9,6.8,8.3,6.0,5.9,1.5
UKR_Hyd_Kaniv18261,10.9,10.0,8.9,8.6,7.9,7.4,7.4,7.9,7.6,8.6,8.7,10.0
UKR_Hyd_Kiev18264,6.0,6.0,6.0,4.6,1.5,1.0,1.0,1.5,2.7,4.6,6.0,5.9
UKR_Hyd_Kievpumpedst18265,6.0,6.0,6.0,4.6,1.5,1.0,1.0,1.5,2.7,4.6,6.0,5.9
UKR_Hyd_Kremenchug18268,6.0,6.0,6.0,4.6,1.5,1.0,1.0,1.5,2.7,4.6,6.0,5.9
UKR_Hyd_Tashlyk18280,1.0,1.5,8.3,8.3,8.3,7.9,5.3,6.2,8.3,6.2,6.9,1.5
URY_Hyd_CONSTITUCIN29545,75.2,75.2,36.2,30.0,25.0,11.7,8.6,7.6,9.0,34.6,75.2,75.2
URY_Hyd_DR_GABRIELTER29550,59.8,59.7,59.9,60.6,64.5,79.6,79.6,79.6,79.6,63.3,59.8,59.9
URY_Hyd_RINCNDEBAYG29598,62.5,68.9,79.6,79.6,56.7,34.8,24.4,23.1,38.8,47.4,79.6,79.6
URY_Hyd_SALTOGRANDE29599,74.6,79.6,71.5,69.4,69.4,67.1,62.9,64.2,59.7,70.3,68.4,74.6
USA_Hyd_45MileHydroel20871,18.1,26.1,46.1,44.8,52.6,64.3,64.3,64.3,64.3,32.8,24.6,10.5
USA_Hyd_99Islands20882,48.7,54.4,45.2,42.8,42.8,40.4,35.8,37.1,32.5,44.0,41.6,48.7
USA_Hyd_AbbottTP320927,39.4,39.4,39.4,18.6,10.8,6.1,4.0,3.9,4.3,7.6,27.7,39.4
USA_Hyd_AbiquiuDam20929,19.7,22.2,24.7,29.7,39.2,37.0,30.3,22.0,30.2,44.6,32.5,24.4
USA_Hyd_AdaDam20938,39.4,39.4,39.4,30.5,13.5,13.7,15.2,8.0,13.0,9.4,21.1,39.4
USA_Hyd_AGWishon20884,53.1,49.3,43.8,41.2,38.2,35.6,35.4,37.7,37.2,41.4,41.6,49.9
USA_Hyd_Alamo20985,40.5,40.5,31.6,30.7,17.6,10.2,4.6,4.1,12.0,31.1,40.5,40.5
USA_Hyd_AlbeniFalls20997,39.4,39.4,33.0,18.7,9.9,6.9,4.3,3.9,5.7,13.6,39.4,39.4
USA_Hyd_Alcona21001,6.9,11.7,42.1,64.3,64.3,64.3,64.3,37.6,26.0,24.5,16.0,10.8
USA_Hyd_Alcova21002,15.2,17.0,39.4,39.4,39.4,31.4,21.7,21.7,21.3,36.1,39.4,19.8
USA_Hyd_Alder21004,9.9,16.9,39.4,39.4,39.4,39.4,28.2,19.7,18.0,12.4,8.5,8.6
USA_Hyd_Alexander21006,3.9,14.0,39.4,39.4,39.4,29.7,30.2,34.6,37.3,37.2,39.4,7.3
USA_Hyd_AliceFallsHyd21015,9.9,11.3,30.6,39.4,39.4,19.1,17.0,23.9,24.0,39.4,39.4,14.6
USA_Hyd_Allatoona21016,19.5,20.5,39.4,39.4,39.4,39.4,19.5,17.2,18.0,13.1,9.8,10.3
USA_Hyd_AlleganDam21017,21.8,39.7,57.5,64.3,64.3,64.3,64.3,56.9,34.8,45.3,31.9,9.8
USA_Hyd_AlleghenyHydro21020,5.7,5.8,5.9,10.3,19.4,53.0,53.0,53.0,53.0,26.0,7.3,5.3
USA_Hyd_AlleghenyHydro21021,18.6,21.4,36.7,61.0,61.0,61.0,61.0,52.1,50.3,45.3,27.4,19.1
USA_Hyd_AlleghenyNo_521023,25.8,25.8,25.8,7.6,3.3,2.6,2.6,2.6,2.6,3.3,15.4,25.8
