REGION,TECHNOLOGY,VALUE
GLOBAL,PWRWONBRASE01,31.536
GLOBAL,PWRWASBRASE01,31.536
GLOBAL,PWRWOFBRASE01,31.536
GLOBAL,PWRWAVBRASE01,31.536
GLOBAL,PWRPETBRASE01,31.536
GLOBAL,PWRGEOBRASE01,31.536
GLOBAL,PWRCOGBRASE01,31.536
GLOBAL,PWRCCGBRASO00,31.536
GLOBAL,PWROCGBRASO00,31.536
GLOBAL,PWRHYDBRASO01,31.536
GLOBAL,PWROILBRASO01,31.536
GLOBAL,PWRSPVBRASO01,31.536
GLOBAL,PWROTHBRASO01,31.536
GLOBAL,PWRCSPBRASO01,31.536
GLOBAL,PWRBIOBRASO01,31.536
GLOBAL,PWRCOABRASO01,31.536
GLOBAL,PWRURNBRASO01,31.536
GLOBAL,PWRWONBRASO01,31.536
GLOBAL,PWRWASBRASO01,31.536
GLOBAL,PWRWOFBRASO01,31.536
GLOBAL,PWRWAVBRASO01,31.536
GLOBAL,PWRPETBRASO01,31.536
GLOBAL,PWRGEOBRASO01,31.536
GLOBAL,PWRCOGBRASO01,31.536
GLOBAL,PWRCCGBRAWE00,31.536
GLOBAL,PWROCGBRAWE00,31.536
GLOBAL,PWRHYDBRAWE01,31.536
GLOBAL,PWROILBRAWE01,31.536
GLOBAL,PWRSPVBRAWE01,31.536
GLOBAL,PWROTHBRAWE01,31.536
GLOBAL,PWRCSPBRAWE01,31.536
GLOBAL,PWRBIOBRAWE01,31.536
GLOBAL,PWRCOABRAWE01,31.536
GLOBAL,PWRURNBRAWE01,31.536
GLOBAL,PWRWONBRAWE01,31.536
GLOBAL,PWRWASBRAWE01,31.536
GLOBAL,PWRWOFBRAWE01,31.536
GLOBAL,PWRWAVBRAWE01,31.536
GLOBAL,PWRPETBRAWE01,31.536
GLOBAL,PWRGEOBRAWE01,31.536
GLOBAL,PWRCOGBRAWE01,31.536
GLOBAL,PWRCCGBRNXX00,31.536
GLOBAL,PWROCGBRNXX00,31.536
GLOBAL,PWRHYDBRNXX01,31.536
GLOBAL,PWROILBRNXX01,31.536
GLOBAL,PWRSPVBRNXX01,31.536
GLOBAL,PWROTHBRNXX01,31.536
GLOBAL,PWRCSPBRNXX01,31.536
GLOBAL,PWRBIOBRNXX01,31.536
GLOBAL,PWRCOABRNXX01,31.536
GLOBAL,PWRURNBRNXX01,31.536
GLOBAL,PWRWONBRNXX01,31.536
GLOBAL,PWRWASBRNXX01,31.536
GLOBAL,PWRWOFBRNXX01,31.536
GLOBAL,PWRWAVBRNXX01,31.536
GLOBAL,PWRPETBRNXX01,31.536
GLOBAL,PWRGEOBRNXX01,31.536
GLOBAL,PWRCOGBRNXX01,31.536
GLOBAL,PWRCCGBTNXX00,31.536
GLOBAL,PWROCGBTNXX00,31.536
GLOBAL,PWRHYDBTNXX01,31.536
GLOBAL,PWROILBTNXX01,31.536
GLOBAL,PWRSPVBTNXX01,31.536
GLOBAL,PWROTHBTNXX01,31.536
GLOBAL,PWRCSPBTNXX01,31.536
GLOBAL,PWRBIOBTNXX01,31.536
GLOBAL,PWRCOABTNXX01,31.536
GLOBAL,PWRURNBTNXX01,31.536
GLOBAL,PWRWONBTNXX01,31.536
GLOBAL,PWRWASBTNXX01,31.536
GLOBAL,PWRWOFBTNXX01,31.536
GLOBAL,PWRWAVBTNXX01,31.536
GLOBAL,PWRPETBTNXX01,31.536
GLOBAL,PWRGEOBTNXX01,31.536
GLOBAL,PWRCOGBTNXX01,31.536
GLOBAL,PWRCCGBWAXX00,31.536
GLOBAL,PWROCGBWAXX00,31.536
GLOBAL,PWRHYDBWAXX01,31.536
GLOBAL,PWROILBWAXX01,31.536
GLOBAL,PWRSPVBWAXX01,31.536
